IDENT,LATITUDE,LONGITUDE 
EDCON,10° 11' 42.54" N,123° 52' 7.61" E
EDLOR,6° 52' 1.98" N,125° 51' 36.83" E
EMPUL,13° 59' 42.01" N,114° 40' 42.96" E
ENDAX,14° 15' 0.00" N,130° 0' 0.00" E
ESCAN,15° 41' 6.61" N,120° 40' 23.26" E
EXORA,14° 3' 34.90" N,119° 52' 56.76" E
FLORA,6° 54' 15.03" N,122° 15' 23.94" E
FONSO,15° 4' 52.80" N,120° 57' 5.41" E
FORTA,9° 22' 28.94" N,124° 3' 15.30" E
GALER,13° 32' 16.00" N,121° 17' 15.69" E
GAMAN,10° 2' 42.47" N,118° 53' 42.09" E
GARAY,14° 54' 44.36" N,121° 8' 55.94" E
GITAG,8° 43' 56.89" N,124° 20' 2.90" E
GONIL,8° 20' 36.49" N,125° 1' 23.63" E
GORAI,4° 0' 0.00" N,120° 43' 60.00" E
GOSTO,6° 58' 20.71" N,122° 28' 18.23" E
GSA07,06° 11' 32.31" N,125° 04' 49.27" E
GSA10,06° 13' 24.72" N,125° 10' 14.70" E
GSA17,06° 02' 15.75" N,125° 05' 55.34" E
GSA23,06° 06' 27.82" N,125° 05' 25.37" E
GSA28,06° 07' 18.51" N,124° 55' 52.87" E
GSA32,06° 12' 20.92" N,124° 59' 12.75" E
GSA35,06° 05' 32.48" N,125° 05' 26.62" E
GSA48,06° 11' 25.22" N,125° 04' 04.20" E
GSA49,06° 14' 22.13" N,125° 03' 26.61" E
GSA73,05° 54' 34.02" N,125° 06' 45.25" E
GSA89,06° 13' 02.97" N,125° 04' 38.52" E
GSA90,06° 12' 58.22" N,125° 04' 04.99" E
GUKUM,14° 11' 44.00" N,116° 55' 1.84" E
GULFO,10° 22' 55.56" N,122° 42' 23.12" E
GURAG,21° 0' 0.00" N,127° 25' 0.00" E
IBAGO,13° 32' 37.76" N,121° 18' 34.26" E
IBOBI,14° 18' 42.00" N,118° 20' 8.93" E
IGANG,10° 25' 9.23" N,122° 26' 43.10" E
INDAN,14° 11' 24.87" N,120° 52' 3.04" E
IPATA,13° 51' 57.41" N,121° 48' 48.04" E
ISGOG,9° 14' 42.00" N,130° 0' 0.00" E
JAGIS,9° 55' 26.84" N,118° 28' 12.07" E
KABAM,21° 0' 0.00" N,119° 52' 48.00" E
KABAN,14° 9' 18.67" N,121° 27' 27.62" E
KABAY,6° 26' 43.21" N,125° 17' 19.03" E
KAMBE,6° 11' 21.91" N,124° 41' 22.64" E
KANDU,15° 24' 51.54" N,122° 39' 0.50" E
KANON,10° 40' 39.08" N,123° 13' 34.30" E
KAPOH,18° 40' 45.51" N,120° 34' 9.00" E
KARAG,14° 25' 58.90" N,119° 56' 43.93" E
KATAN,8° 5' 26.99" N,124° 52' 27.20" E
KAWIT,10° 46' 18.78" N,124° 30' 17.45" E
KEERO,14° 13' 55.91" N,120° 19' 7.24" E
KIBOK,14° 59' 5.72" N,120° 23' 52.81" E
KINLA,17° 40' 48.06" N,120° 28' 11.87" E
KLAFU,7° 20' 31.00" N,125° 23' 35.77" E
LABAY,14° 23' 14.11" N,122° 2' 41.48" E
LAIYA,13° 34' 18.87" N,121° 23' 40.44" E
LAMBO,11° 9' 43.52" N,122° 21' 3.39" E
LAMOK,9° 53' 57.55" N,123° 44' 59.11" E
LAO03,18° 07' 43.86" N,120° 31' 24.88" E
LAO06,18° 04' 44.01" N,120° 31' 05.12" E
LAO07,18° 17' 41.53" N,120° 32' 46.13" E
LAO14,18° 09' 19.77" N,120° 31' 35.42" E
LAO24,18° 13' 06.96" N,120° 32' 05.72" E
LAO60,18° 16' 41.84" N,120° 32' 37.34" E
LAO84,18° 02' 20.13" N,120° 30' 49.32" E
LATIA,6° 54' 17.12" N,124° 55' 16.48" E
LEGED,13° 1' 13.24" N,119° 0' 6.94" E
LEMAP,18° 3' 25.47" N,120° 38' 56.87" E
LIBON,10° 1' 54.36" N,124° 18' 2.62" E
LINAO,7° 15' 43.14" N,124° 50' 51.15" E
LOPEZ,13° 55' 17.28" N,122° 12' 7.37" E
LOWAY,9° 28' 35.04" N,123° 59' 44.14" E
LULBU,11° 9' 36.08" N,116° 32' 17.70" E
LUNDO,8° 1' 1.10" N,124° 28' 51.60" E
MABID,9° 59' 42.57" N,124° 5' 34.69" E
MALAG,12° 22' 19.60" N,124° 15' 26.50" E
MALAY,14° 25' 30.27" N,121° 16' 59.10" E
MALIB,15° 41' 5.24" N,120° 29' 44.73" E
MANOK,10° 39' 30.41" N,123° 44' 55.02" E
MARAN,10° 14' 1.74" N,120° 24' 57.73" E
MARIO,10° 27' 20.19" N,124° 7' 54.59" E
MASAG,11° 29' 57.79" N,124° 41' 58.75" E
MASUN,7° 18' 1.55" N,121° 52' 14.25" E
MAVRA,17° 46' 40.21" N,116° 30' 7.18" E
MCT08,10° 24' 45.40" N,124° 04' 59.78" E
MCT09,10° 22' 17.64" N,124° 06' 50.32" E
MCT12,10° 27' 11.52" N,124° 08' 03.89" E
MCT17,10° 26' 09.60" N,123° 52' 22.58" E
MCT20,10° 12' 01.34" N,123° 56' 14.73" E
MCT26,10° 19' 35.49" N,123° 59' 52.91" E
MCT27,10° 17' 15.95" N,123° 57' 36.14" E
MCT32,10° 27' 02.88" N,123° 53' 28.35" E
MCT35,10° 28' 42.84" N,123° 57' 32.04" E
MCT46,10° 20' 00.02" N,124° 00' 32.31" E
MCT60,10° 23' 00.04" N,124° 03' 40.64" E
MCT67,10° 22' 29.77" N,124° 08' 10.56" E
MCT73,10° 20' 52.13" N,124° 06' 05.38" E
