IDENT,LATITUDE,LONGITUDE 
R1784,05° 55' 43.72" N,116° 02' 51.54" E
R2124,02° 44' 35.13" N,101° 41' 52.20" E
R2631,02° 44' 53.31" N,101° 43' 19.11" E
R2797,03° 08' 43.27" N,101° 32' 26.72" E
R2798,02° 42' 47.27" N,101° 43' 04.43" E
R2865,02° 46' 41.81" N,101° 42' 06.19" E
RAXIM,3° 3' 18.00" N,104° 17' 12.00" E
REKOP,1° 33' 6.00" N,103° 5' 21.00" E
REKOS,5° 8' 32.00" N,115° 42' 8.00" E
RIZAN,3° 1' 15.00" N,112° 17' 24.00" E
RUMID,2° 20' 18.00" N,101° 36' 25.00" E
RUSET,7° 46' 16.00" N,97° 42' 57.00" E
SADON,2° 20' 18.60" N,101° 45' 16.20" E
SAKMA,4° 24' 28.00" N,113° 39' 55.00" E
SANOB,6° 35' 10.00" N,95° 40' 9.00" E
SAPAM,08° 05' 10.00" N,097° 32' 39.00" E
SAPAT,2° 32' 10.00" N,102° 2' 30.00" E
SAROX,2° 48' 2.00" N,102° 40' 19.00" E
SARVO,3° 26' 30.00" N,112° 50' 10.00" E
SJ035,01° 29' 54.00" N,103° 20' 24.00" E
SUKAT,3° 35' 25.00" N,101° 1' 12.00" E
SUMLA,8° 2' 43.00" N,116° 0' 35.00" E
TAMOS,6° 31' 46.00" N,100° 23' 41.00" E
TASEK,5° 15' 29.00" N,98° 17' 56.00" E
TAXUL,3° 50' 36.00" N,103° 40' 36.00" E
TEPUS,4° 10' 13.00" N,100° 45' 33.00" E
TERUS,2° 1' 35.00" N,103° 13' 9.00" E
TOMUD,5° 54' 13.00" N,117° 3' 8.00" E
TOPOR,1° 44' 12.00" N,102° 53' 30.00" E
TOSOK,06° 00' 00.00" N,097° 00' 00.00" E
UDERO,3° 55' 50.00" N,114° 29' 40.00" E
UKASA,2° 52' 45.00" N,103° 39' 1.00" E
UKIBA,5° 18' 49.00" N,115° 2' 8.00" E
VAMPI,6° 10' 56.00" N,97° 35' 8.00" E
VBA01,02° 55' 44.21" N,101° 35' 58.73" E
