IDENT,LATITUDE,LONGITUDE 
ASISU,5° 59' 6.00" N,113° 20' 46.00" E
BATOT,1° 19' 30.00" N,104° 0' 3.00" E
BEKTA,1° 15' 51.00" N,103° 58' 31.00" E
BELAT,1° 12' 56.00" N,103° 57' 17.00" E
BIDUS,1° 35' 54.00" N,103° 57' 54.00" E
BIGMO,1° 11' 29.00" N,103° 56' 40.00" E
BIKTA,2° 43' 37.00" N,103° 43' 8.00" E
BIPOP,1° 31' 21.00" N,104° 10' 18.00" E
BITEP,1° 5' 19.00" N,103° 54' 4.00" E
BONSU,1° 19' 28.00" N,103° 37' 10.00" E
BUNTO,2° 40' 8.00" N,105° 59' 53.00" E
DAMAL,2° 19' 55.00" N,103° 5' 12.00" E
DOBLU,1° 3' 47.00" N,104° 13' 15.00" E
DOKTA,1° 26' 6.00" N,104° 10' 40.00" E
DOSNO,0° 47' 57.00" N,104° 14' 9.00" E
DOVAN,1° 19' 38.00" N,104° 12' 49.00" E
DUDIS,7° 0' 0.00" N,106° 48' 34.00" E
DUNAL,1° 1' 38.00" N,103° 58' 8.00" E
EGORA,1° 36' 21.00" N,104° 6' 7.00" E
ELALU,1° 34' 39.00" N,104° 5' 24.00" E
ELBEB,1° 28' 44.00" N,104° 2' 54.00" E
ELMIN,1° 25' 49.00" N,104° 1' 40.00" E
ESBIT,1° 22' 12.00" N,104° 0' 8.00" E
ESPOB,7° 0' 0.00" N,105° 33' 17.00" E
GUPTA,2° 9' 48.00" N,102° 38' 30.00" E
IBULA,0° 50' 36.00" N,104° 36' 0.00" E
IDSEL,3° 24' 32.00" N,103° 55' 44.00" E
IGNON,1° 8' 47.00" N,104° 12' 57.00" E
IKIMA,0° 43' 14.00" N,104° 55' 0.00" E
IPRIX,7° 0' 0.00" N,104° 7' 55.00" E
KAMIN,2° 34' 44.00" N,108° 55' 37.00" E
KARTO,1° 11' 24.00" N,105° 33' 43.00" E
KASRI,2° 3' 17.00" N,102° 53' 13.00" E
KETOD,3° 10' 44.00" N,104° 9' 43.00" E
KEXAS,1° 10' 19.00" N,104° 48' 18.00" E
KIBOL,2° 52' 29.00" N,104° 28' 5.00" E
LAVAX,1° 9' 50.00" N,104° 27' 14.00" E
LELIB,1° 27' 29.00" N,103° 24' 50.00" E
LENDA,2° 41' 24.00" N,104° 39' 32.00" E
MAKUM,1° 21' 48.00" N,104° 1' 1.00" E
MANIM,3° 14' 31.00" N,104° 5' 53.00" E
MASNI,1° 20' 37.00" N,103° 37' 46.00" E
MELAS,7° 5' 20.00" N,108° 9' 11.00" E
MEMUS,1° 25' 26.00" N,104° 2' 34.00" E
MILIN,1° 28' 21.00" N,104° 3' 47.00" E
MOLRO,1° 29' 49.00" N,104° 4' 24.00" E
MOSTU,1° 35' 59.00" N,104° 7' 1.00" E
NITAD,1° 32' 57.00" N,104° 1' 54.00" E
NIVAM,2° 36' 50.00" N,104° 2' 28.00" E
NOMAK,1° 33' 40.00" N,104° 4' 0.00" E
OBDAB,3° 11' 53.00" N,104° 5' 38.00" E
PADLI,3° 9' 18.00" N,103° 31' 33.00" E
PARDI,0° 34' 0.00" S,104° 13' 0.00" E
PASPU,1° 59' 15.00" N,104° 6' 18.00" E
PEKLA,2° 34' 37.00" N,104° 6' 18.00" E
PIBAP,2° 30' 23.00" N,104° 6' 18.00" E
PIMOK,1° 26' 48.00" N,103° 20' 8.00" E
POSUB,1° 27' 25.00" N,104° 7' 48.00" E
RAXIM,3° 3' 18.00" N,104° 17' 13.00" E
REKOP,1° 33' 6.00" N,103° 5' 21.00" E
RUTOT,1° 14' 53.00" N,104° 19' 48.00" E
SABUG,1° 15' 54.00" N,104° 3' 12.00" E
SANAT,1° 7' 48.00" N,103° 59' 29.00" E
SANAX,1° 7' 48.00" N,103° 59' 29.00" E
SAPAT,2° 32' 10.00" N,102° 2' 30.00" E
SAPAX,1° 19' 50.00" N,103° 53' 58.00" E
