IDENT,LATITUDE,LONGITUDE 
AKNAT,12° 14' 00.00" N,103° 42' 42.00" E
BENSA,10° 26' 24.00" N,102° 26' 42.00" E
BIDEG,12° 04' 00.00" N,103° 30' 30.00" E
BISOR,12° 21' 00.00" N,102° 47' 00.00" E
GONLY,13° 40' 00.00" N,107° 30' 00.00" E
KISAN,10° 32' 20.00" N,104° 40' 30.00" E
KRATI,12° 29' 06.00" N,106° 03' 48.00" E
POPET,11° 06' 00.00" N,105° 57' 00.00" E
SATON,12° 56' 58.00" N,104° 33' 49.00" E
SOURN,13° 45' 30.00" N,106° 00' 00.00" E
VIBUN,13° 47' 48.00" N,105° 25' 54.00" E
